"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Total","Currency: Local currency","2021",4321.55,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Total","Currency: 2017 PPP $","2021",5539.05,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Total","Currency: U.S. dollars","2021",5111.28,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Agriculture","Currency: Local currency","2021",3394.12,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Agriculture","Currency: 2017 PPP $","2021",4350.33,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Agriculture","Currency: U.S. dollars","2021",4014.36,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Manufacturing","Currency: Local currency","2021",5187.53,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Manufacturing","Currency: 2017 PPP $","2021",6648.99,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Manufacturing","Currency: U.S. dollars","2021",6135.5,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Construction","Currency: Local currency","2021",3890.92,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Construction","Currency: 2017 PPP $","2021",4987.1,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Construction","Currency: U.S. dollars","2021",4601.95,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
